date,platform,spend,impressions,clicks,attributed_sales,keyword,internal_sku
2026-06-14,bigbasket,340.14,253,,0,,40359935
2026-06-14,bigbasket,0,0,,0,,40359934
2026-06-14,bigbasket,0,0,,0,,40197856
2026-06-15,bigbasket,220.75,352,,432,,40197858
2026-06-25,bigbasket,208.56,280,,864,,40197854
2026-07-01,bigbasket,248.88,289,,1425,,40197858
2026-07-01,bigbasket,115.75,139,,298,,40197860
2026-07-06,bigbasket,930.97,1060,,6325,,40220813
2026-07-18,bigbasket,605.41,630,,2648,,40359936
2026-06-23,bigbasket,0,0,,0,,40197858
2026-06-23,bigbasket,263.09,413,,317,,40197860
2026-06-16,bigbasket,490.62,508,,2941,,40197858
2026-07-23,bigbasket,41.4,63,,1585,,40197851
2026-07-19,bigbasket,0.6,1,,0,,40197852
2026-06-21,bigbasket,406.82,422,,1015,,40197858
2026-07-25,bigbasket,50.53,77,,1042,,40197851
2026-06-20,bigbasket,109.36,117,,0,,40197860
2026-07-26,bigbasket,1.2,2,,0,,40197852
2026-06-18,bigbasket,316.75,339,,655,,40197854
2026-06-17,bigbasket,5.88,1,,0,,40197852
2026-06-22,bigbasket,429.85,679,,2180,,40197858
2026-06-07,bigbasket,993.36,1144,,4107,,40197850
2026-05-06,bigbasket,98.05,142,,1233,,40220812
2026-07-11,bigbasket,535.14,623,,1732,,40359934
2026-05-11,bigbasket,0,0,,0,,40197850
2026-06-02,bigbasket,0,0,,0,,40197850
2026-05-21,bigbasket,33.85,37,,499,,40197860
2026-05-21,bigbasket,0,0,,0,,40197861
2026-05-30,bigbasket,198.97,239,,517,,40349409
2026-05-08,bigbasket,0,0,,0,,40197861
2026-05-24,bigbasket,1106.45,1383,,2767,,40359936
2026-05-25,bigbasket,677.94,600,,1085,,40359935
2026-05-25,bigbasket,1.72,2,,0,,40197852
2026-06-08,bigbasket,433.43,663,,2038,,40197854
2026-05-07,bigbasket,7.08,3,,0,,40197850
2026-05-27,bigbasket,890.5,1069,,2254,,40359934
2026-05-23,bigbasket,1063.65,1325,,4702,,40220813
2026-06-14,bigbasket,97.2,104,,99,,40197851
2026-06-14,bigbasket,0,0,,0,,40197856
2026-07-24,bigbasket,584.07,696,,3434,,40349409
2026-06-25,bigbasket,54.83,81,,1153,,40197860
2026-06-13,bigbasket,470.35,618,,2271,,40197858
2026-06-30,bigbasket,431.58,551,,1254,,40220813
2026-06-23,bigbasket,864.39,1273,,2893,,40197854
2026-07-23,bigbasket,620.86,710,,7638,,40220813
2026-07-19,bigbasket,574.72,606,,1442,,40359936
2026-07-19,bigbasket,31.2,45,,525,,40197851
2026-07-17,bigbasket,1228.07,1640,,13918,,40220813
2026-07-17,bigbasket,405.85,444,,1939,,40359936
2026-06-19,bigbasket,0,0,,0,,40349409
2026-06-19,bigbasket,188.1,203,,317,,40197851
2026-06-28,bigbasket,0,0,,0,,40197858
2026-06-21,bigbasket,684.74,556,,1981,,40197850
2026-07-20,bigbasket,662.23,702,,996,,40349409
2026-07-21,bigbasket,100.28,120,,1084,,40359936
2026-07-21,bigbasket,125.65,151,,298,,40349409
2026-05-26,bigbasket,1205.64,1558,,4704,,40349409
2026-06-20,bigbasket,900.62,1226,,1519,,40220813
2026-07-26,bigbasket,20.18,30,,198,,40197851
