date,platform,internal_sku,warehouse,stock_on_hand
,instamart,18503,HYD IM2,5
,instamart,18503,HYD IM1,13
,instamart,18503,MUM IM3,5
,instamart,18503,MUM IM1,37
,instamart,18503,MUM FC22,4
,instamart,18503,PUN DELHIVERY,0
,instamart,18503,GOA IM1,1
,instamart,18503,CBE ECOM,0
,instamart,18503,JAI IM1,7
,instamart,18503,KOC IM1,0
,instamart,18503,KOLKATA ECOM,0
,instamart,18503,LKO IM1,1
,instamart,18503,BLR IM1,3
,instamart,18503,NAG IM1,0
,instamart,18503,VIZ IM1,1
,instamart,18504,HYD IM1,3
,instamart,18504,MUM IM3,12
,instamart,18504,MUM FC22,0
,instamart,18504,HYD IM4,0
,instamart,18504,PUN DELHIVERY,12
,instamart,18504,NOI IM1,7
,instamart,18504,DLHY GGNFC5,1
,instamart,18504,GOA IM1,0
,instamart,18504,CBE ECOM,0
,instamart,18504,KOC IM1,1
,instamart,18504,BLR IM1,0
,instamart,18506,AHM DELHIVERY,1
,instamart,18506,MUM IM1,11
,instamart,18506,MUM FC22,1
,instamart,18506,HYD IM4,0
,instamart,18506,PUN DELHIVERY,0
,instamart,18506,DLHY GGNFC5,1
,instamart,18506,CHN ECOM,0
,instamart,18506,KOC IM1,0
,instamart,18506,KOLKATA ECOM,7
,instamart,18506,BLR IM1,1
,instamart,18506,VIZ IM1,0
,instamart,197453,HYD IM4,0
,instamart,197453,NOI IM1,0
,instamart,197453,KOLKATA ECOM,1
,instamart,292876,KOC IM1,1
,instamart,292876,KOLKATA ECOM,0
,instamart,292876,VIZ IM1,0
,instamart,57850,KOC IM1,4
,instamart,57850,LKO IM1,1
,instamart,63565,HYD IM2,19
,instamart,63565,HYD IM1,8
,instamart,63565,MUM FC22,0
,instamart,63565,HYD IM4,32
,instamart,63565,PUN DELHIVERY,1
,instamart,63565,GAU IM1,0
,instamart,63565,CBE ECOM,0
,instamart,63565,KOC IM1,1
,instamart,63565,KOLKATA ECOM,1
,instamart,63565,BLR IM1,1
,instamart,68254,AHM DELHIVERY,2
,instamart,68254,HYD IM2,3
,instamart,68254,MUM IM3,1
,instamart,68254,MUM IM1,12
,instamart,68254,MUM FC22,2
,instamart,68254,GOA IM1,1
,instamart,68254,CBE ECOM,0
,instamart,68254,KOC IM1,0
,instamart,68254,KOLKATA ECOM,7
,instamart,68254,BLR IM1,0
,instamart,78553,AHM DELHIVERY,1
,instamart,78553,MUM IM3,4
,instamart,78553,MUM FC22,16
,instamart,78553,HYD IM4,0
,instamart,78553,PUN DELHIVERY,8
,instamart,78553,DLHY GGNFC5,0
,instamart,78553,KOC IM1,0
,instamart,78553,KOLKATA ECOM,0
,instamart,78553,BLR IM4,33
,instamart,78553,BLR IM1,1
,instamart,78553,NAG IM1,0
,instamart,78553,CHD ECOM,0
,instamart,78553,VIZ IM1,0
,instamart,792937,MUM FC22,2
,instamart,792937,HYD IM4,0
,instamart,792937,PUN DELHIVERY,0
,instamart,792937,NOI IM1,9
,instamart,792937,JAI IM1,1
,instamart,792937,KOLKATA ECOM,3
,instamart,792937,BLR IM4,25
,instamart,792937,BLR IM1,0
,instamart,18503,HYD IM4,120
,instamart,18503,HYD IM5,2
,instamart,18503,PUNE IM2 TEMP,0
,instamart,18503,NOI IM1,116
,instamart,18503,AMD IM3,115
,instamart,18503,DLHY GGNFC5,83
,instamart,18503,DLHY GGNFC9,77
,instamart,18503,CHN ECOM,104
,instamart,18503,CHE AMB IM2,106
,instamart,18503,KOL IM2,286
,instamart,18503,LKO IM3,0
,instamart,18503,BLR IM3,0
,instamart,18503,BLR IM4,61
,instamart,18503,BLR DHL,64
,instamart,18503,BLR ECOM2,146
,instamart,18503,CHD ECOM,63
,instamart,18503,CHD_IM2,0
,instamart,18504,HYD IM2,20
,instamart,18504,MUM IM1,147
,instamart,18504,HYD IM5,2
,instamart,18504,AMD IM3,1
,instamart,18504,DLHY GGNFC9,44
,instamart,18504,GAU IM1,17
,instamart,18504,CHN ECOM,117
,instamart,18504,CBE IM1 TEMP,0
,instamart,18504,CHE AMB IM2,124
,instamart,18504,JAI IM1,25
,instamart,18504,KOL IM2,268
,instamart,18504,LKO IM3,0
,instamart,18504,BLR IM4,78
,instamart,18504,BLR DHL,53
,instamart,18504,BLR ECOM2,72
,instamart,18504,NAG IM1,9
,instamart,18504,CHD_IM2,0
,instamart,18504,VIZ IM1,34
,instamart,18505,MUM IM1,20
,instamart,18505,DLHY GGNFC9,1
,instamart,18505,BLR ECOM2,1
,instamart,18506,HYD IM2,16
,instamart,18506,HYD IM1,26
,instamart,18506,MUM IM3,27
,instamart,18506,HYD IM5,0
,instamart,18506,NOI IM1,53
,instamart,18506,AMD IM3,19
,instamart,18506,GOA IM1,72
,instamart,18506,DLHY GGNFC9,28
,instamart,18506,GAU IM1,0
,instamart,18506,CBE IM1 TEMP,1
,instamart,18506,CHE AMB IM2,27
,instamart,18506,JAI IM1,52
,instamart,18506,KOL IM2,140
,instamart,18506,LKO IM1,30
,instamart,18506,LKO IM3,2
,instamart,18506,BLR IM4,34
,instamart,18506,BLR DHL,13
,instamart,18506,BLR ECOM2,52
,instamart,18506,NAG IM1,20
,instamart,18506,CHD ECOM,20
,instamart,18506,CHD_IM2,0
,instamart,197453,AHM DELHIVERY,86
,instamart,197453,HYD IM2,18
,instamart,197453,HYD IM1,25
,instamart,197453,MUM IM3,4
,instamart,197453,MUM IM1,39
,instamart,197453,MUM FC22,39
,instamart,197453,HYD IM5,0
,instamart,197453,PUNE IM2 TEMP,1
,instamart,197453,PUN DELHIVERY,34
,instamart,197453,GOA IM1,28
,instamart,197453,DLHY GGNFC9,27
,instamart,197453,CBE ECOM,42
,instamart,197453,CBE IM1 TEMP,1
,instamart,197453,CHE AMB IM2,215
,instamart,197453,JAI IM1,43
,instamart,197453,KOL IM2,144
,instamart,197453,LKO IM3,2
,instamart,197453,BLR IM4,96
,instamart,197453,BLR IM1,85
,instamart,197453,BLR DHL,42
,instamart,197453,BLR ECOM2,40
,instamart,197453,NAG IM1,8
,instamart,292876,HYD IM2,136
,instamart,292876,HYD IM1,23
,instamart,292876,MUM IM3,32
,instamart,292876,MUM IM1,7
,instamart,292876,MUM FC22,104
,instamart,292876,HYD IM5,5
,instamart,292876,PUN DELHIVERY,106
,instamart,292876,NOI IM1,21
,instamart,292876,AMD IM3,0
,instamart,292876,GOA IM1,23
,instamart,292876,DLHY GGNFC9,127
,instamart,292876,CHN ECOM,44
,instamart,292876,CHE AMB IM2,105
,instamart,292876,JAI IM1,71
,instamart,292876,KOL IM2,114
,instamart,292876,LKO IM3,0
,instamart,292876,BLR IM4,23
,instamart,292876,BLR IM1,82
,instamart,292876,BLR DHL,28
,instamart,292876,BLR ECOM2,42
,instamart,292876,NAG IM1,23
,instamart,57850,AHM DELHIVERY,34
,instamart,57850,HYD IM2,105
,instamart,57850,HYD IM1,2
,instamart,57850,MUM IM3,10
,instamart,57850,MUM IM1,35
,instamart,57850,MUM FC22,123
,instamart,57850,PUNE IM2 TEMP,8
,instamart,57850,PUN DELHIVERY,29
,instamart,57850,NOI IM1,22
,instamart,57850,AMD IM3,2
,instamart,57850,DLHY GGNFC5,91
,instamart,57850,GOA IM1,23
,instamart,57850,DLHY GGNFC9,128
,instamart,57850,GAU IM1,68
,instamart,57850,CHN ECOM,26
,instamart,57850,CBE IM1 TEMP,6
,instamart,57850,CHE AMB IM2,40
,instamart,57850,JAI IM1,53
,instamart,57850,KOLKATA ECOM,66
,instamart,57850,KOL IM2,20
,instamart,57850,LKO IM3,3
,instamart,57850,BLR IM4,21
,instamart,57850,BLR IM1,59
,instamart,57850,BLR DHL,64
,instamart,57850,BLR ECOM2,106
,instamart,57850,NAG IM1,27
,instamart,57850,CHD_IM2,6
,instamart,57850,VIZ IM1,3
,instamart,63565,MUM IM3,253
,instamart,63565,MUM IM1,143
,instamart,63565,NOI IM1,170
,instamart,63565,AMD IM3,130
,instamart,63565,DLHY GGNFC5,52
,instamart,63565,GOA IM1,11
,instamart,63565,DLHY GGNFC9,131
,instamart,63565,CHN ECOM,113
,instamart,63565,CBE IM1 TEMP,2
,instamart,63565,CHE AMB IM2,57
,instamart,63565,JAI IM1,25
,instamart,63565,KOL IM2,321
,instamart,63565,LKO IM1,62
,instamart,63565,BLR IM4,77
,instamart,63565,BLR DHL,113
,instamart,63565,BLR ECOM2,110
,instamart,63565,NAG IM1,15
,instamart,63565,CHD ECOM,26
,instamart,63565,CHD_IM2,0
,instamart,671170,MUM IM3,1
,instamart,68254,HYD IM1,52
,instamart,68254,HYD IM4,80
,instamart,68254,HYD IM5,0
,instamart,68254,PUN DELHIVERY,9
,instamart,68254,NOI IM1,8
,instamart,68254,AMD IM3,38
,instamart,68254,DLHY GGNFC5,44
,instamart,68254,DLHY GGNFC9,11
,instamart,68254,GAU IM1,21
,instamart,68254,CBE IM3,1
,instamart,68254,CHN ECOM,72
,instamart,68254,CHE AMB IM2,48
,instamart,68254,JAI IM1,58
,instamart,68254,KOL IM2,84
,instamart,68254,LKO IM1,52
,instamart,68254,LKO IM3,3
,instamart,68254,BLR IM4,55
,instamart,68254,BLR DHL,41
,instamart,68254,BLR ECOM2,93
,instamart,68254,NAG IM1,23
,instamart,68254,CHD ECOM,21
,instamart,68254,CHD_IM2,1
,instamart,68254,VIZ IM1,3
,instamart,78553,HYD IM2,57
,instamart,78553,HYD IM1,79
,instamart,78553,MUM IM1,1
,instamart,78553,NOI IM1,67
,instamart,78553,AMD IM3,126
,instamart,78553,GOA IM1,60
,instamart,78553,DLHY GGNFC9,55
,instamart,78553,GAU IM1,16
,instamart,78553,CHN ECOM,61
,instamart,78553,CHE AMB IM2,82
,instamart,78553,KOL IM2,113
,instamart,78553,BLR DHL,52
,instamart,78553,BLR ECOM2,136
,instamart,78553,CHD_IM2,0
,instamart,792937,HYD IM2,47
,instamart,792937,HYD IM1,68
,instamart,792937,MUM IM3,107
,instamart,792937,MUM IM1,172
,instamart,792937,HYD IM5,0
,instamart,792937,AMD IM3,5
,instamart,792937,DLHY GGNFC5,90
,instamart,792937,GOA IM1,56
,instamart,792937,DLHY GGNFC9,278
