platform,internal_sku,product,mrp,sp
instamart,Chuk 3 CP Snactray Without Lid (Pack of 25),Chuk 3 CP Snactray Without Lid (Pack of 25),299.0,101.0
bigbasket,120 Ml (Pack of 25),120 Ml (Pack of 25),89.0,59.0
instamart,Chuk Disposable 4 inch Dona,Chuk Disposable 4 inch Dona,285.0,228.0
bigbasket,6 inch (Pack of 25),6 inch (Pack of 25),119.0,99.0
instamart,Chuk 5 CP Mealtray Without Lid (Pack of 25),Chuk 5 CP Mealtray Without Lid (Pack of 25),559.0,208.0
bigbasket,10 Inch (Pack of 25),10 Inch (Pack of 25),319.0,129.0
instamart,78553,Chuk Spoon Caddy,99.0,79.2
bigbasket,4 CP (Pack of 25),4 CP (Pack of 25),499.0,199.0
instamart,57850,Chuk Party Caddy,109.0,87.2
bigbasket,5 CP (Pack of 25),5 CP (Pack of 25),559.0,229.0
instamart,18503,Chuk 180 Ml Bowl,99.0,66.3
bigbasket,Spoon Caddy,Spoon Caddy,99.0,89.0
instamart,197453,Chuk 360 Ml Bowl,169.0,135.2
bigbasket,8 CP Mealtray ( Pack of 10 ),8 CP Mealtray ( Pack of 10 ),279.0,279.0
instamart,Chuk Ecofriendly Disposable Bowl,Chuk Ecofriendly Disposable Bowl,198.0,158.4
bigbasket,Party Caddy,Party Caddy,109.0,99.0
instamart,Chuk Ecofriendly Disposable Plate,Chuk Ecofriendly Disposable Plate,957.0,765.6
bigbasket,7 Inch ( Pack of 25 ),7 Inch ( Pack of 25 ),149.0,99.0
instamart,Chuk 7 Inch Plate Kanjak Plate Thali,Chuk 7 Inch Plate Kanjak Plate Thali,447.0,357.6
bigbasket,12 Inch Plate ( Pack of 25 ),12 Inch Plate ( Pack of 25 ),499.0,179.0
instamart,Chuk 3 CP Snack Tray,Chuk 3 CP Snack Tray,250.0,200.0
instamart,18504,Chuk 10 Inch Plate Without Lid,319.0,174.6
bigbasket,250 ML Bowl,250 ML Bowl,119.0,49.0
instamart,Chuk 7 Inch Plate,Chuk 7 Inch Plate,298.0,238.4
bigbasket,360 ML,360 ML,169.0,99.0
instamart,Chuk 4 CP Chausar Without Lid (Pack of 25),Chuk 4 CP Chausar Without Lid (Pack of 25),449.0,146.0
instamart,63565,Chuk 3 Partition Plates Kanjak Plate Thali,189.0,151.2
bigbasket,4 CP Chausar Pack of 10,4 CP Chausar Pack of 10,199.0,109.0
instamart,292876,Chuk 3 Compartments Snack Tray Kanjak Plate Thali,125.0,100.0
bigbasket,3 CP Tray Pack of 10,3 CP Tray Pack of 10,125.0,79.0
instamart,Chuk 3 Cp Mealtray Without Lid,Chuk 3 Cp Mealtray Without Lid,249.0,199.2
bigbasket,4 Inch Dona Pack of 25,4 Inch Dona Pack of 25,99.0,59.0
instamart,68254,Chuk 7 Inch Plate Without Lid,149.0,89.4
bigbasket,9 Inch Plate Pack of 25,9 Inch Plate Pack of 25,279.0,279.0
instamart,18506,Chuk 4 Cp Mealtray Without Lid,499.0,342.0
instamart,Chuk 250 ml Bowl (Pack of 25),Chuk 250 ml Bowl (Pack of 25),119.0,46.0
instamart,792937,Chuk 150 Ml Bowl,95.0,76.0
