StorageType,FacilityName,City,SkuCode,SkuDescription,L1,L2,ShelfLifeDays,BusinessCategory,DaysOnHand,PotentialGmvLoss,OpenPos,OpenPoQuantity,WarehouseQtyAvailable
Ambient,HYD IM2,HYDERABAD,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,3860.01,"[CHCPO370500"",""CHCPO369029]",80,5
Ambient,HYD IM1,HYDERABAD,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,2,4386.69,"[CHMPO319520"",""CHMPO316273"",""CHMPO316671]",120,13
Ambient,MUM IM3,MUMBAI,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,5945.94,"[CI3PO77345"",""CI3PO79275]",160,5
Ambient,MUM IM1,MUMBAI,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,4,5363.82,[CIMPO117779],80,37
Ambient,MUM FC22,MUMBAI,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,3728.34,"[CMFPO344461"",""CMFPO342433]",80,4
Ambient,HYD IM4,HYDERABAD,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,9,9119.88,"[CMMPO13936"",""CMMPO14402"",""CMMPO13717"",""CMMPO13579"",""CMMPO14317"",""CMMPO14484"",""CMMPO14042]",440,120
Ambient,HYD IM5,HYDERABAD,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,2
Ambient,PUNE IM2 TEMP,PUNE,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,0
Ambient,PUN DELHIVERY,PUNE,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,6431.04,"[CPDPO293214"",""CPDPO290836]",240,0
Ambient,NOI IM1,NOIDA,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,31,2577.96,[ETPPO82325],40,116
Ambient,AMD IM3,AHMEDABAD,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,115
Ambient,DLHY GGNFC5,GURGAON,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,20,2765.07,[],0,83
Ambient,GOA IM1,CENTRAL GOA,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,727.65,[GCAPO65949],40,1
Ambient,DLHY GGNFC9,DELHI,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,19,2806.65,[GGNPO380588],40,77
Ambient,CBE ECOM,COIMBATORE,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,3125.43,[],0,0
Ambient,CHN ECOM,CHENNAI,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,17,4234.23,[JCNPO279841],40,104
Ambient,CHE AMB IM2,CHENNAI,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,18,3873.87,"[JN2PO110152"",""JN2PO110659"",""JN2PO109597]",240,106
Ambient,JAI IM1,JAIPUR,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,5,921.69,[],0,7
Ambient,KOC IM1,KOCHI,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,4026.33,"[KOCPO126460"",""KOCPO127958]",80,0
Ambient,KOLKATA ECOM,KOLKATA,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,12543.3,[],0,0
Ambient,KOL IM2,KOLKATA,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[KWBPO105156],80,286
Ambient,LKO IM1,LUCKNOW,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,949.41,[],0,1
Ambient,LKO IM3,LUCKNOW,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,0
Ambient,BLR IM3,BANGALORE,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,0
Ambient,BLR IM4,BANGALORE,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,12,3444.21,"[MBEPO40103"",""MBEPO40463]",80,61
Ambient,BLR IM1,BANGALORE,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,4601.52,"[MBIPO412448"",""MBIPO411936]",120,3
,BLR DHL,BANGALORE_2,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,12,3465,"[MBJPO85496"",""MBJPO86728]",80,64
Ambient,BLR ECOM2,BANGALORE,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,18,5343.03,[MBLPO425326],40,146
Ambient,NAG IM1,NAGPUR,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,1004.85,[],0,0
Ambient,CHD ECOM,CHANDIGARH,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,46,942.48,[],0,63
Ambient,CHD_IM2,CHANDIGARH,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,0
Ambient,VIZ IM1,VIZAG,18503,Chuk 180 Ml Bowl 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,2744.28,[],0,1
Ambient,HYD IM2,HYDERABAD,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,16,2746.59,"[CHCPO366456"",""CHCPO369029]",40,20
Ambient,HYD IM1,HYDERABAD,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,7346.57,"[CHMPO319520"",""CHMPO316011"",""CHMPO316671"",""CHMPO316273]",80,3
Ambient,MUM IM3,MUMBAI,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,2,10673.74,"[CI3PO77345"",""CI3PO79275]",120,12
Ambient,MUM IM1,MUMBAI,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,22,14603.82,[CIMPO117779],80,147
Ambient,MUM FC22,MUMBAI,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,8284.43,[CMFPO342433],60,0
Ambient,HYD IM4,HYDERABAD,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,0,10227.14,"[CMMPO13717"",""CMMPO13579"",""CMMPO13839"",""CMMPO13936"",""CMMPO14042"",""CMMPO14118]",240,0
Ambient,HYD IM5,HYDERABAD,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,2
Ambient,PUN DELHIVERY,PUNE,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,3,7435.89,[CPDPO290836],40,12
Ambient,NOI IM1,NOIDA,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,2,7726.18,[],0,7
Ambient,AMD IM3,AHMEDABAD,18504,Chuk 10 Inch Plate Without Lid 25.0 Pieces,Home and Kitchen Needs,Paper Disposable,2000,Non Food,365,0,[],0,1
