Date,Campaign ID,Campaign Name,Targeting Type,Targeting Value,Match Type,Most Viewed Position,Pacing Type,CPM,Impressions,Direct ATC,Indirect ATC,Direct Quantities Sold,Indirect Quantities Sold,Direct Sales,Indirect Sales,New Users Acquired,Estimated Budget Consumed,Direct RoAS,Total RoAS
06-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,151,12,0,6,0,594,0,5,75.5,7.867549669,7.867549669
06-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,98,11,0,3,0,297,0,3,58.8,5.051020408,5.051020408
06-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,92,3,0,2,0,198,0,2,73.6,2.690217391,2.690217391
06-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,256,15,0,7,0,783,0,6,125.6,6.234076433,6.234076433
06-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,1104,87,10,49,6,5391,514,48,1678.5,3.211796247,3.518022043
06-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,13,DAILY,400,1784,40,6,25,2,3325,198,19,713.6,4.659473094,4.936939462
06-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,400,1198,31,5,12,3,1228,387,11,479.2,2.562604341,3.370200334
07-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,245,17,2,9,2,981,188,11,122.5,8.008163265,9.542857143
07-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,227,15,2,10,1,1170,169,8,136.2,8.59030837,9.83113069
07-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,153,7,1,3,0,297,0,2,122.4,2.426470588,2.426470588
07-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,397,9,4,6,4,684,476,6,194.6,3.514902364,5.960945529
07-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2041,152,20,94,12,10296,1528,82,3104.1,3.31690345,3.809155633
07-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,13,DAILY,400,2478,58,9,29,3,3201,297,27,991.2,3.229418886,3.52905569
07-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,400,1738,20,3,6,2,824,198,6,695.2,1.185270426,1.470080552
08-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,276,19,3,9,2,981,238,9,138,7.108695652,8.833333333
08-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,254,21,0,11,0,1179,0,11,152.4,7.736220472,7.736220472
08-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,173,3,0,1,0,99,0,1,138.4,0.715317919,0.715317919
08-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,336,10,5,6,3,594,257,7,164.9,3.602183141,5.160703457
08-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2241,186,24,105,11,12195,1509,92,3408.1,3.578240075,4.021008773
08-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,13,DAILY,400,2919,71,6,37,2,3953,198,29,1167.6,3.385577252,3.555155875
08-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,400,2088,38,4,23,4,3187,486,20,835.2,3.81585249,4.397749042
09-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,280,32,2,22,2,2178,188,17,140,15.55714286,16.9
09-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,317,25,1,12,1,1368,119,10,190.2,7.192429022,7.818086225
09-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,168,5,1,4,0,396,0,4,134.4,2.946428571,2.946428571
09-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,446,9,0,4,0,396,0,4,219.2,1.806569343,1.806569343
09-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2495,237,27,154,21,16506,2449,142,3793.8,4.350782856,4.996309769
09-05-2026,500613,Paper Plates - May'26,Keyword,paper plate,EXACT,13,DAILY,400,3402,80,9,40,7,4410,783,41,1360.8,3.240740741,3.816137566
09-05-2026,500613,Paper Plates - May'26,Keyword,paper plates,EXACT,5,DAILY,400,2280,52,6,37,2,5503,198,25,912,6.033991228,6.251096491
10-05-2026,500611,Clone of Bowl - May'26,Keyword,dona,EXACT,1,DAILY,500,295,23,0,13,0,1287,0,11,147.5,8.725423729,8.725423729
10-05-2026,500611,Clone of Bowl - May'26,Keyword,paper bowl,EXACT,1,DAILY,600,298,26,1,17,0,1863,0,15,178.8,10.41946309,10.41946309
10-05-2026,500611,Clone of Bowl - May'26,Keyword,small bowl,EXACT,1,DAILY,800,184,4,0,3,0,297,0,3,147.2,2.017663043,2.017663043
10-05-2026,500611,Clone of Bowl - May'26,Keyword,bowls,EXACT,1,DAILY,488,472,9,0,7,0,783,0,6,231.9,3.376455369,3.376455369
10-05-2026,500611,Clone of Bowl - May'26,Keyword,disposable bowl,EXACT,1,DAILY,1521,2451,217,27,129,14,14391,1716,118,3727.2,3.861075338,4.321474565
