platform,internal_sku,rating,review_text,product_name
instamart,Chuk 3 CP Snactray Without Lid (Pack of 25),4.0,,Chuk 3 CP Snactray Without Lid (Pack of 25)
bigbasket,120 Ml (Pack of 25),3.8,,120 Ml (Pack of 25)
instamart,Chuk 120 ml Bowl (Pack of 25),4.0,,Chuk 120 ml Bowl (Pack of 25)
instamart,Chuk Disposable 4 inch Dona,4.6,,Chuk Disposable 4 inch Dona
bigbasket,6 inch (Pack of 25),5.0,,6 inch (Pack of 25)
instamart,Chuk 5 CP Mealtray Without Lid (Pack of 25),4.0,,Chuk 5 CP Mealtray Without Lid (Pack of 25)
bigbasket,10 Inch (Pack of 25),4.1,,10 Inch (Pack of 25)
instamart,78553,4.6,,Chuk Spoon Caddy
bigbasket,4 CP (Pack of 25),4.0,,4 CP (Pack of 25)
instamart,57850,4.0,,Chuk Party Caddy
bigbasket,5 CP (Pack of 25),4.1,,5 CP (Pack of 25)
instamart,18503,4.7,,Chuk 180 Ml Bowl
bigbasket,Spoon Caddy,3.9,,Spoon Caddy
instamart,197453,4.0,,Chuk 360 Ml Bowl
bigbasket,8 CP Mealtray ( Pack of 10 ),5.0,,8 CP Mealtray ( Pack of 10 )
instamart,Chuk Ecofriendly Disposable Bowl,4.0,,Chuk Ecofriendly Disposable Bowl
bigbasket,Party Caddy,3.5,,Party Caddy
instamart,Chuk Ecofriendly Disposable Plate,4.0,,Chuk Ecofriendly Disposable Plate
bigbasket,7 Inch ( Pack of 25 ),3.9,,7 Inch ( Pack of 25 )
instamart,Chuk 7 Inch Plate Kanjak Plate Thali,4.0,,Chuk 7 Inch Plate Kanjak Plate Thali
bigbasket,12 Inch Plate ( Pack of 25 ),4.3,,12 Inch Plate ( Pack of 25 )
instamart,Chuk 3 CP Snack Tray,4.0,,Chuk 3 CP Snack Tray
instamart,18504,4.5,,Chuk 10 Inch Plate Without Lid
bigbasket,250 ML Bowl,4.3,,250 ML Bowl
instamart,Chuk 7 Inch Plate,4.5,,Chuk 7 Inch Plate
bigbasket,360 ML,5.0,,360 ML
instamart,Chuk 4 CP Chausar Without Lid (Pack of 25),4.0,,Chuk 4 CP Chausar Without Lid (Pack of 25)
instamart,63565,4.0,,Chuk 3 Partition Plates Kanjak Plate Thali
bigbasket,4 CP Chausar Pack of 10,3.8,,4 CP Chausar Pack of 10
instamart,292876,4.6,,Chuk 3 Compartments Snack Tray Kanjak Plate Thali
bigbasket,3 CP Tray Pack of 10,3.5,,3 CP Tray Pack of 10
instamart,Chuk 3 Cp Mealtray Without Lid,4.0,,Chuk 3 Cp Mealtray Without Lid
bigbasket,4 Inch Dona Pack of 25,4.2,,4 Inch Dona Pack of 25
instamart,68254,4.5,,Chuk 7 Inch Plate Without Lid
bigbasket,9 Inch Plate Pack of 25,3.8,,9 Inch Plate Pack of 25
instamart,18506,4.6,,Chuk 4 Cp Mealtray Without Lid
instamart,Chuk 250 ml Bowl (Pack of 25),4.7,,Chuk 250 ml Bowl (Pack of 25)
instamart,792937,4.6,,Chuk 150 Ml Bowl
