internal_sku,product_name,category
18503,Chuk 180 Ml Bowl,disposables
63565,Chuk 3 Partition Plates Kanjak Plate Thali,disposables
792937,Chuk 150 Ml Bowl,disposables
78553,Chuk Spoon Caddy,disposables
18506,Chuk 4 Cp Mealtray Without Lid,disposables
292876,Chuk 3 Compartments Snack Tray Kanjak Plate Thali,disposables
18504,Chuk 10 Inch Plate Without Lid,disposables
57850,Chuk Party Caddy,disposables
197453,Chuk 360 Ml Bowl,disposables
68254,Chuk 7 Inch Plate Without Lid,disposables
18505,Chuk 3 Cp Mealtray Without Lid 25.0 Pieces,Paper Disposable
671170,Chuk 250 ml Bowl (Pack of 25) 25.0 pieces,Non Customised Packaging
995391,Chuk 4 CP Chausar Without Lid (Pack of 25) 25.0 pieces,Non Customised Packaging
40359935,Chuk Disposable Bowl  360 ml (Set of 25),cleaning-household>party-festive-needs>disposable-cups-plates
40359934,Chuk 3 CP Meal Plates With Cutlery  10 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197856,"Chuk Disposable Meal Plate, 23 cm  25 pcs",cleaning-household>party-festive-needs>disposable-cups-plates
40197858,Chuk 3 CP Meal Plate  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197854,Chuk Disposable Snack Plate - 18 cm  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197860,Chuk Disposable Meal Plate - 4 Compartment  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40220813,Chuk Disposable Snack Plate - 26 cm  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40359936,Chuk Disposable Plate With Cutlery - 228.6 mm  10 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197851,Chuk Serving Bowls/Dona  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197852,Chuk Disposable Bowl - 250 ml  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197850,Chuk Disposable Bowl - 120 ml  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40220812,Chuk Disposable Snack Plate - 15 cm  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197861,Chuk Disposable Meal Plate - 5 Compartment  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40349409,Chuk Disposable 4 Compartment Meal Plate With Cutlery  10 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40302639,"Chuk Party/Travel Disposable Combo - Plates, Spoons, Tissues  30 pcs",cleaning-household>party-festive-needs>disposable-cups-plates
40302635,Chuk Sugarcane Bagasse Meal Plate  -8CP Meal Tray  10 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197853,Chuk Disposable Snack Plate - 13 cm  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197857,"Chuk Disposable Meal Plate - Square, 28 cm  25 pcs",cleaning-household>party-festive-needs>disposable-cups-plates
40220814,Chuk Disposable Snack Plate - 30 cm  25 pcs,cleaning-household>party-festive-needs>disposable-cups-plates
40197855,"Chuk Disposable Mini Meal Plate - Square,23 cm  25 pcs",cleaning-household>party-festive-needs>disposable-cups-plates
